number,code,price
62212,U,2600
66121,U,2600
66141,U,2600
66181,U,2600
66414,U,2600
72212,U,2600
73313,U,2600
74414,U,2600
77141,U,2600
77151,U,2600
77191,U,2600
77414,U,2600
80828,U,2600
80838,U,2600
80848,U,2600
81822,U,2600
82212,U,2600
83313,U,2600
83323,U,2600
86616,U,2600
88131,U,2600
88141,U,2600
88151,U,2600
88414,U,2600
88515,U,2600
90929,U,2600
90949,U,2600
90959,U,2600
90979,U,2600
92212,U,2600
94414,U,2600
95515,U,2600
98761,U,2600
99131,U,2600
99141,U,2600
99151,U,2600
99212,U,2600
99290,U,2600
48404,W,2600
53505,W,2600
62606,W,2600
64606,W,2600
66706,W,2600
74044,W,2600
99049,W,2600
30360,X,2600
30370,X,2600
30663,X,2600
31336,X,2600
31337,X,2600
31338,X,2600
31339,X,2600
31341,X,2600
31343,X,2600
31433,X,2600
31443,X,2600
32422,X,2600
32443,X,2600
33136,X,2600
33243,X,2600
33423,X,2600
33534,X,2600
34131,X,2600
34133,X,2600
34144,X,2600
34313,X,2600
34405,X,2600
34506,X,2600
35113,X,2600
35303,X,2600
35331,X,2600
35503,X,2600
36166,X,2600
36303,X,2600
36331,X,2600
36603,X,2600
37113,X,2600
37177,X,2600
37303,X,2600
37331,X,2600
37703,X,2600
38188,X,2600
38303,X,2600
38331,X,2600
38803,X,2600
39199,X,2600
39303,X,2600
39331,X,2600
39903,X,2600
40242,X,2600
40332,X,2600
40460,X,2600
40470,X,2600
40556,X,2600
40646,X,2600
40747,X,2600
40949,X,2600
41124,X,2600
41334,X,2600
41344,X,2600
41431,X,2600
41434,X,2600
41442,X,2600
41446,X,2600
41447,X,2600
41448,X,2600
41449,X,2600
41451,X,2600
41454,X,2600
41544,X,2600
42204,X,2600
42404,X,2600
42441,X,2600
43141,X,2600
43144,X,2600
43302,X,2600
43314,X,2600
43414,X,2600
44243,X,2600
44342,X,2600
44534,X,2600
44654,X,2600
45067,X,2600
45141,X,2600
45144,X,2600
45355,X,2600
45414,X,2600
45506,X,2600
45607,X,2600
46114,X,2600
46166,X,2600
46404,X,2600
46441,X,2600
46566,X,2600
46604,X,2600
47114,X,2600
47177,X,2600
47404,X,2600
47441,X,2600
47717,X,2600
48188,X,2600
48404,X,2600
48441,X,2600
48818,X,2600
49114,X,2600
49199,X,2600
49404,X,2600
49441,X,2600
49904,X,2600
50225,X,2600
50252,X,2600
50335,X,2600
50353,X,2600
50443,X,2600
50520,X,2600
50570,X,2600
50667,X,2600
50757,X,2600
50775,X,2600
50858,X,2600
50959,X,2600
51125,X,2600
51255,X,2600
51413,X,2600
51455,X,2600
51541,X,2600
51552,X,2600
51553,X,2600
51558,X,2600
51559,X,2600
51561,X,2600
51565,X,2600
51665,X,2600
52122,X,2600
52155,X,2600
52205,X,2600
52551,X,2600
53133,X,2600
53305,X,2600
53433,X,2600
53505,X,2600
53551,X,2600
54032,X,2600
54144,X,2600
54151,X,2600
54155,X,2600
54344,X,2600
54403,X,2600
54415,X,2600
54515,X,2600
54644,X,2600
55125,X,2600
55215,X,2600
55756,X,2600
56078,X,2600
56151,X,2600
56155,X,2600
56466,X,2600
56515,X,2600
56607,X,2600
56615,X,2600
56708,X,2600
57177,X,2600
57505,X,2600
57551,X,2600
57556,X,2600
57677,X,2600
58188,X,2600
58505,X,2600
58551,X,2600
58805,X,2600
59115,X,2600
59199,X,2600
59505,X,2600
59551,X,2600
59905,X,2600
60226,X,2600
60262,X,2600
60446,X,2600
60464,X,2600
60554,X,2600
60640,X,2600
60868,X,2600
61126,X,2600
61266,X,2600
61514,X,2600
61556,X,2600
61566,X,2600
61636,X,2600
61651,X,2600
61656,X,2600
61662,X,2600
