,code,number,price,city
295,U,44707,"3,000 AED",duabi_new
296,U,44808,"3,000 AED",duabi_new
297,U,44909,"3,000 AED",duabi_new
298,U,45433,"3,000 AED",duabi_new
299,U,45466,"3,000 AED",duabi_new
300,U,45515,"AED3,000",duabi_new
301,U,45535,"AED3,000",duabi_new
302,U,46411,"AED3,000",duabi_new
303,U,46455,"AED3,000",duabi_new
304,U,46656,"AED3,000",duabi_new
305,U,48411,"AED3,000",duabi_new
306,U,49411,"AED3,000",duabi_new
307,U,51121,"AED3,000",duabi_new
308,U,51544,"AED3,000",duabi_new
309,U,53343,"AED3,000",duabi_new
310,U,53544,"AED3,000",duabi_new
311,U,54414,"AED3,000",duabi_new
312,U,54434,"AED3,000",duabi_new
313,U,54464,"AED3,000",duabi_new
314,U,54511,"AED3,000",duabi_new
315,U,54533,"AED3,000",duabi_new
316,U,55057,"AED3,000",duabi_new
317,U,55058,"AED3,000",duabi_new
318,U,55141,"AED3,000",duabi_new
319,U,55161,"AED3,000",duabi_new
320,U,55171,"AED3,000",duabi_new
321,U,55202,"AED3,000",duabi_new
322,U,55303,"AED3,000",duabi_new
323,U,55343,"AED3,000",duabi_new
324,U,55414,"AED3,000",duabi_new
325,U,55616,"AED3,000",duabi_new
326,U,55707,"AED3,000",duabi_new
327,U,55767,"AED3,000",duabi_new
328,U,56544,"AED3,000",duabi_new
329,U,56646,"AED3,000",duabi_new
330,U,57511,"AED3,000",duabi_new
331,U,57566,"AED3,000",duabi_new
332,U,58511,"AED3,000",duabi_new
333,U,59511,"AED3,000",duabi_new
334,U,60622,"AED3,000",duabi_new
335,U,60644,"AED3,000",duabi_new
336,U,61655,"AED3,000",duabi_new
337,U,62066,"AED3,000",duabi_new
338,U,64066,"AED3,000",duabi_new
339,U,64454,"AED3,000",duabi_new
340,U,64655,"AED3,000",duabi_new
341,U,65515,"AED3,000",duabi_new
342,U,65545,"AED3,000",duabi_new
343,U,65575,"AED3,000",duabi_new
344,U,65611,"AED3,000",duabi_new
345,U,65644,"AED3,000",duabi_new
346,U,65677,"AED3,000",duabi_new
347,U,66064,"AED3,000",duabi_new
348,U,66202,"AED3,000",duabi_new
349,U,66404,"AED3,000",duabi_new
350,U,66515,"AED3,000",duabi_new
351,U,66575,"AED3,000",duabi_new
352,U,66717,"AED3,000",duabi_new
353,U,67655,"AED3,000",duabi_new
354,U,67717,"AED3,000",duabi_new
355,U,67757,"AED3,000",duabi_new
356,U,68677,"AED3,000",duabi_new
357,U,68878,"AED3,000",duabi_new
358,U,72711,"AED3,000",duabi_new
359,U,73077,"AED3,000",duabi_new
360,U,74711,"AED3,000",duabi_new
361,U,75077,"AED3,000",duabi_new
362,U,75565,"AED3,000",duabi_new
363,U,75711,"AED3,000",duabi_new
364,U,75766,"AED3,000",duabi_new
365,U,76616,"AED3,000",duabi_new
366,U,76755,"AED3,000",duabi_new
367,U,77079,"AED3,000",duabi_new
368,U,77181,"AED3,000",duabi_new
369,U,77202,"AED3,000",duabi_new
370,U,77303,"AED3,000",duabi_new
371,U,77404,"AED3,000",duabi_new
372,U,78799,"AED3,000",duabi_new
373,U,78868,"AED3,000",duabi_new
374,U,79788,"AED3,000",duabi_new
375,U,82811,"AED3,000",duabi_new
376,U,83811,"AED3,000",duabi_new
377,U,84811,"AED3,000",duabi_new
378,U,85088,"AED3,000",duabi_new
379,U,85811,"AED3,000",duabi_new
380,U,86811,"AED3,000",duabi_new
381,U,86877,"AED3,000",duabi_new
382,U,87767,"AED3,000",duabi_new
383,U,87797,"AED3,000",duabi_new
384,U,87811,"AED3,000",duabi_new
385,U,88191,"AED3,000",duabi_new
386,U,88202,"AED3,000",duabi_new
387,U,88303,"AED3,000",duabi_new
388,U,88505,"AED3,000",duabi_new
389,U,88717,"AED3,000",duabi_new
390,U,88780,"AED3,000",duabi_new
391,U,88919,"AED3,000",duabi_new
392,U,97099,"AED3,000",duabi_new
393,U,97988,"AED3,000",duabi_new
394,U,99094,"AED3,000",duabi_new
395,U,99303,"AED3,000",duabi_new
396,U,99404,"AED3,000",duabi_new
397,U,99505,"AED3,000",duabi_new
398,U,99707,"AED3,000",duabi_new
399,V,34303,"AED3,000",duabi_new
400,V,44054,"AED3,000",duabi_new
401,W,33203,"AED3,000",duabi_new
402,W,40445,"AED3,000",duabi_new
403,W,44054,"AED3,000",duabi_new
404,W,44504,"AED3,000",duabi_new
405,W,45404,"AED3,000",duabi_new
406,W,54044,"AED3,000",duabi_new
407,W,54404,"AED3,000",duabi_new
408,W,54505,"AED3,000",duabi_new
409,W,55405,"AED3,000",duabi_new
410,W,56505,"AED3,000",duabi_new
411,W,66506,"AED3,000",duabi_new
412,W,67606,"AED3,000",duabi_new
413,X,30434,"AED3,000",duabi_new
414,X,31143,"AED3,000",duabi_new
415,X,31334,"AED3,000",duabi_new
416,X,33143,"AED3,000",duabi_new
417,X,33413,"AED3,000",duabi_new
418,X,33431,"AED3,000",duabi_new
419,X,33543,"AED3,000",duabi_new
420,X,34113,"AED3,000",duabi_new
421,X,34304,"AED3,000",duabi_new
422,X,34331,"AED3,000",duabi_new
423,X,34403,"AED3,000",duabi_new
424,X,35030,"AED3,000",duabi_new
425,X,36030,"AED3,000",duabi_new
426,X,37030,"AED3,000",duabi_new
427,X,38030,"AED3,000",duabi_new
428,X,39030,"AED3,000",duabi_new
429,X,40343,"AED3,000",duabi_new
430,X,40545,"AED3,000",duabi_new
431,X,40554,"AED3,000",duabi_new
432,X,41154,"AED3,000",duabi_new
433,X,41321,"AED3,000",duabi_new
434,X,41443,"AED3,000",duabi_new
435,X,43114,"AED3,000",duabi_new
436,X,43304,"AED3,000",duabi_new
437,X,43403,"AED3,000",duabi_new
438,X,44143,"AED3,000",duabi_new
439,X,44314,"AED3,000",duabi_new
440,X,44324,"AED3,000",duabi_new
441,X,44341,"AED3,000",duabi_new
442,X,44354,"AED3,000",duabi_new
443,X,44514,"AED3,000",duabi_new
444,X,44541,"AED3,000",duabi_new
445,X,44546,"AED3,000",duabi_new
446,X,44645,"AED3,000",duabi_new
447,X,45114,"AED3,000",duabi_new
448,X,45405,"AED3,000",duabi_new
449,X,45441,"AED3,000",duabi_new
450,X,45504,"AED3,000",duabi_new
451,X,46040,"AED3,000",duabi_new
452,X,47040,"AED3,000",duabi_new
453,X,48040,"AED3,000",duabi_new
454,X,49040,"AED3,000",duabi_new
455,X,50445,"AED3,000",duabi_new
456,X,50454,"AED3,000",duabi_new
457,X,50530,"AED3,000",duabi_new
458,X,50656,"AED3,000",duabi_new
459,X,50665,"AED3,000",duabi_new
460,X,51145,"AED3,000",duabi_new
461,X,51165,"AED3,000",duabi_new
462,X,53050,"AED3,000",duabi_new
463,X,54115,"AED3,000",duabi_new
464,X,54405,"AED3,000",duabi_new
465,X,54504,"AED3,000",duabi_new
466,X,54551,"AED3,000",duabi_new
467,X,55154,"AED3,000",duabi_new
468,X,55165,"AED3,000",duabi_new
469,X,55354,"AED3,000",duabi_new
470,X,55415,"AED3,000",duabi_new
471,X,55435,"AED3,000",duabi_new
472,X,55453,"AED3,000",duabi_new
473,X,55465,"AED3,000",duabi_new
474,X,55615,"AED3,000",duabi_new
475,X,55645,"AED3,000",duabi_new
476,X,55651,"AED3,000",duabi_new
477,X,55654,"AED3,000",duabi_new
478,X,55657,"AED3,000",duabi_new
479,X,55675,"AED3,000",duabi_new
480,X,55765,"AED3,000",duabi_new
481,X,56115,"AED3,000",duabi_new
482,X,56506,"AED3,000",duabi_new
483,X,56551,"AED3,000",duabi_new
484,X,56554,"AED3,000",duabi_new
485,X,56605,"AED3,000",duabi_new
486,X,57050,"AED3,000",duabi_new
487,X,58050,"AED3,000",duabi_new
488,X,59050,"AED3,000",duabi_new
489,X,60363,"AED3,000",duabi_new
490,X,60565,"AED3,000",duabi_new
491,X,60620,"AED3,000",duabi_new
492,X,60630,"AED3,000",duabi_new
493,X,60767,"AED3,000",duabi_new
494,X,61156,"AED3,000",duabi_new
495,X,61665,"AED3,000",duabi_new
496,X,61667,"AED3,000",duabi_new
497,X,61696,"AED3,000",duabi_new
498,X,63161,"AED3,000",duabi_new
499,X,63616,"AED3,000",duabi_new
500,X,65116,"AED3,000",duabi_new
501,X,65605,"AED3,000",duabi_new
502,X,65661,"AED3,000",duabi_new
503,X,66156,"AED3,000",duabi_new
504,X,66163,"AED3,000",duabi_new
505,X,66165,"AED3,000",duabi_new
506,X,66176,"AED3,000",duabi_new
507,X,66196,"AED3,000",duabi_new
508,X,66261,"AED3,000",duabi_new
509,X,66306,"AED3,000",duabi_new
510,X,66361,"AED3,000",duabi_new
511,X,66456,"AED3,000",duabi_new
512,X,66516,"AED3,000",duabi_new
513,X,66546,"AED3,000",duabi_new
514,X,66561,"AED3,000",duabi_new
515,X,66706,"AED3,000",duabi_new
516,X,66716,"AED3,000",duabi_new
517,X,66761,"AED3,000",duabi_new
518,X,66876,"AED3,000",duabi_new
519,X,66916,"AED3,000",duabi_new
520,X,67089,"AED3,000",duabi_new
521,X,67116,"AED3,000",duabi_new
522,X,67661,"AED3,000",duabi_new
523,X,67706,"AED3,000",duabi_new
524,X,70667,"AED3,000",duabi_new
525,X,70720,"AED3,000",duabi_new
526,X,70730,"AED3,000",duabi_new
527,X,71776,"AED3,000",duabi_new
528,X,71778,"AED3,000",duabi_new
529,X,76117,"AED3,000",duabi_new
530,X,76607,"AED3,000",duabi_new
531,X,76771,"AED3,000",duabi_new
532,X,76778,"AED3,000",duabi_new
533,X,77167,"AED3,000",duabi_new
534,X,77576,"AED3,000",duabi_new
535,X,77617,"AED3,000",duabi_new
536,X,77817,"AED3,000",duabi_new
537,X,77871,"AED3,000",duabi_new
538,X,77897,"AED3,000",duabi_new
539,X,78117,"AED3,000",duabi_new
540,X,78707,"AED3,000",duabi_new
541,X,78771,"AED3,000",duabi_new
542,X,78779,"AED3,000",duabi_new
543,X,78809,"AED3,000",duabi_new
544,X,79070,"AED3,000",duabi_new
545,X,79789,"AED3,000",duabi_new
546,X,81198,"AED3,000",duabi_new
547,X,81898,"AED3,000",duabi_new
548,X,82080,"AED3,000",duabi_new
549,X,83080,"AED3,000",duabi_new
550,X,84080,"AED3,000",duabi_new
551,X,86887,"AED3,000",duabi_new
552,X,87118,"AED3,000",duabi_new
553,X,87177,"AED3,000",duabi_new
554,X,87708,"AED3,000",duabi_new
555,X,87808,"AED3,000",duabi_new
556,X,87818,"AED3,000",duabi_new
557,X,88178,"AED3,000",duabi_new
558,X,88198,"AED3,000",duabi_new
559,X,88718,"AED3,000",duabi_new
560,X,88781,"AED3,000",duabi_new
561,X,88798,"AED3,000",duabi_new
562,X,88978,"AED3,000",duabi_new
563,X,89199,"AED3,000",duabi_new
564,X,89818,"AED3,000",duabi_new
565,X,89881,"AED3,000",duabi_new
566,X,89908,"AED3,000",duabi_new
567,X,91969,"AED3,000",duabi_new
568,X,92090,"AED3,000",duabi_new
569,X,93090,"AED3,000",duabi_new
570,X,94090,"AED3,000",duabi_new
571,X,95090,"AED3,000",duabi_new
572,X,96919,"AED3,000",duabi_new
573,X,97090,"AED3,000",duabi_new
574,X,97889,"AED3,000",duabi_new
575,X,98076,"AED3,000",duabi_new
576,X,98809,"AED3,000",duabi_new
577,X,98919,"AED3,000",duabi_new
578,X,98991,"AED3,000",duabi_new
579,X,99691,"AED3,000",duabi_new
580,X,99798,"AED3,000",duabi_new
581,X,99879,"AED3,000",duabi_new
582,N,49942,"AED2,600",duabi_new
583,O,44535,"AED2,600",duabi_new
584,O,44616,"AED2,600",duabi_new
585,O,44656,"AED2,600",duabi_new
586,O,55171,"AED2,600",duabi_new
587,O,66414,"AED2,600",duabi_new
588,O,88151,"AED2,600",duabi_new
589,P,12144,"AED2,600",duabi_new
590,P,13188,"AED2,600",duabi_new
591,P,14166,"AED2,600",duabi_new
592,P,14177,"AED2,600",duabi_new
593,P,14188,"AED2,600",duabi_new
594,P,14199,"AED2,600",duabi_new
595,P,16122,"AED2,600",duabi_new
596,P,16133,"AED2,600",duabi_new
597,P,16144,"AED2,600",duabi_new
598,P,17133,"AED2,600",duabi_new
599,P,17144,"AED2,600",duabi_new
600,P,17199,"AED2,600",duabi_new
601,P,18144,"AED2,600",duabi_new
602,P,18155,"AED2,600",duabi_new
603,P,18166,"AED2,600",duabi_new
604,P,19122,"AED2,600",duabi_new
605,P,19144,"AED2,600",duabi_new
606,P,19155,"AED2,600",duabi_new
607,P,21255,"AED2,600",duabi_new
608,P,21266,"AED2,600",duabi_new
609,P,21277,"AED2,600",duabi_new
610,P,21288,"AED2,600",duabi_new
611,P,22720,"AED2,600",duabi_new
612,P,31355,"AED2,600",duabi_new
613,P,31366,"AED2,600",duabi_new
614,P,31388,"AED2,600",duabi_new
615,P,31399,"AED2,600",duabi_new
616,P,37717,"AED2,600",duabi_new
617,P,39919,"AED2,600",duabi_new
618,P,41422,"AED2,600",duabi_new
619,P,41466,"AED2,600",duabi_new
620,P,41477,"AED2,600",duabi_new
621,P,41488,"AED2,600",duabi_new
622,P,44616,"AED2,600",duabi_new
623,P,44740,"AED2,600",duabi_new
624,P,44818,"AED2,600",duabi_new
625,P,46616,"AED2,600",duabi_new
626,P,49919,"AED2,600",duabi_new
627,P,51577,"AED2,600",duabi_new
628,P,51599,"AED2,600",duabi_new
629,P,55767,"AED2,600",duabi_new
630,P,61622,"AED2,600",duabi_new
631,P,61644,"AED2,600",duabi_new
632,P,66260,"AED2,600",duabi_new
633,P,66414,"AED2,600",duabi_new
634,P,71733,"AED2,600",duabi_new
635,P,71744,"AED2,600",duabi_new
636,P,71799,"AED2,600",duabi_new
637,P,74414,"AED2,600",duabi_new
638,P,75515,"AED2,600",duabi_new
639,P,77414,"AED2,600",duabi_new
640,P,81833,"AED2,600",duabi_new
641,P,81844,"AED2,600",duabi_new
642,P,81855,"AED2,600",duabi_new
643,P,82212,"AED2,600",duabi_new
644,P,85515,"AED2,600",duabi_new
645,P,91922,"AED2,600",duabi_new
646,P,91933,"AED2,600",duabi_new
647,P,94414,"AED2,600",duabi_new
648,P,99515,"AED2,600",duabi_new
649,Q,22717,"AED2,600",duabi_new
650,Q,22720,"AED2,600",duabi_new
651,Q,40464,"AED2,600",duabi_new
652,Q,44121,"AED2,600",duabi_new
653,Q,44161,"AED2,600",duabi_new
654,Q,44535,"AED2,600",duabi_new
655,Q,44656,"AED2,600",duabi_new
656,Q,44717,"AED2,600",duabi_new
657,Q,44740,"AED2,600",duabi_new
658,Q,44818,"AED2,600",duabi_new
659,Q,44940,"AED2,600",duabi_new
660,Q,46044,"AED2,600",duabi_new
661,Q,55464,"AED2,600",duabi_new
662,Q,66260,"AED2,600",duabi_new
663,Q,66313,"AED2,600",duabi_new
664,Q,66414,"AED2,600",duabi_new
665,Q,66454,"AED2,600",duabi_new
666,Q,77141,"AED2,600",duabi_new
667,Q,88212,"AED2,600",duabi_new
668,R,33979,"AED2,600",duabi_new
669,T,22620,"AED2,600",duabi_new
670,T,33063,"AED2,600",duabi_new
671,T,33161,"AED2,600",duabi_new
672,T,44161,"AED2,600",duabi_new
673,T,44535,"AED2,600",duabi_new
674,T,44616,"AED2,600",duabi_new
675,T,44656,"AED2,600",duabi_new
676,T,44717,"AED2,600",duabi_new
